"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort (crabber-hrs)",150232,151586,141175,163566
"Dungeness_Kept","Catch",74237,90061,81045,104387
