"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",63145,50635,81468,0.719
"Trap",11519,10176,13285,0.131
"Ring Net",10653,9169,12599,0.121
"Snare",2014,1734,2378,0.023
"Other",443,256,770,0.005
