"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",35342,46077,41814,51307
"Dungeness_Kept","Expected_Catch",71157,87560,73535,107928
"Dungeness_Kept","Predictive_Catch",NA,87589,73561,107773
