"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1675,1317,2315,1199,936,1659
"2024-10",3225,2665,4006,2253,1855,2771
"2024-11",2495,1932,3261,1869,1468,2393
"2024-12",9697,8880,10817,2274,1870,2835
"2025-01",7365,6827,8162,2488,1998,3231
"2025-02",1715,1403,2225,1531,1191,2058
"2025-03",1802,1306,2663,2037,1625,2700
"2025-04",3143,2286,4449,3181,2517,4248
"2025-05",7622,5204,11934,3857,3072,5143
"2025-06",5848,3610,9745,3887,2950,5437
"2025-07",15404,8853,27569,8546,6674,11230
"2025-08",20245,13508,31761,8642,7015,10907
"2025-09",5699,3402,10332,3555,2774,4696
