"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_mu_E",0.734876399794103,0.73852746154689,1.01918677727124,0.0294216603632193,0.0182161073467159
"sigma_mu_C",0.779881421364179,0.843329795843132,0.752563418673273,0.0294216603632193,0.0182161073467159
"phi_C",-0.165280850568688,-0.319785505248462,-0.282502336791665,0.0294216603632193,0.0182161073467159
"R_G",1.23032653208991,1.42181232689458,0.27542893010081,0.0294216603632193,0.0182161073467159
"sigma_eps_C",0.397986013366146,0.380094003530791,-0.156884038266287,0.0294216603632193,0.0182161073467159
"phi_E",0.764010002896129,0.730649416365087,-0.114789028650904,0.0294216603632193,0.0182161073467159
"R_G_boat",3.55211350748534,3.53540714524037,0.106604475861423,0.0294216603632193,0.0182161073467159
"r_C",1.68603449287616,1.63674661573486,0.103176814418663,0.0294216603632193,0.0182161073467159
"sigma_r_E",0.939881085015176,0.930490149464701,0.100047533596614,0.0294216603632193,0.0182161073467159
"sigma_IE",0.13839215372715,0.148316403651238,-0.0819654035533222,0.0294216603632193,0.0182161073467159
"r_E",1.13202021153143,1.15505611443237,-0.0669836028153694,0.0294216603632193,0.0182161073467159
"sigma_r_C",0.770134842845334,0.781659427384436,-0.0569428157067779,0.0294216603632193,0.0182161073467159
"sigma_eps_E",0.874480490364633,0.86301822043399,-0.034810802534679,0.0294216603632193,0.0182161073467159
