"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-555.226017795292,23.6590906397973,12.1030006257603,0,-543.12
"catch",130,-448.540188115424,9.91373231428479,9.16693727953418,0,-439.37
