"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"trailer",2,"2024-12-02",1,1.599,0.4986,0.3752,0.2468,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.599,0.697,0.3752,0.2468,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.599,0.9315,0.3752,0.2468,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.599,0.8169,0.3752,0.2468,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.599,0.697,0.3752,0.2468,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.635,0.5461,0.26203,0.20812,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.599,0.4986,0.3752,0.2468,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.599,0.1876,0.3752,0.2468,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.599,0.4986,0.3752,0.2468,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.599,0.1876,0.3752,0.2468,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.635,0.131,0.26203,0.20812,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.47,0.564,0.27306,0.21395,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.501,0.9003,0.38879,0.25041,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.501,0.514,0.38879,0.25041,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.47,0.38,0.27306,0.21395,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.47,0.38,0.27306,0.21395,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.501,0.7136,0.38879,0.25041,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.501,0.514,0.38879,0.25041,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.501,0.1944,0.38879,0.25041,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.501,0.7136,0.38879,0.25041,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.47,0.8499,0.27306,0.21395,FALSE,TRUE
"trailer",31,"2024-12-31",2,2.893,0.5246,0.24994,0.20046,TRUE,TRUE
"trailer",32,"2025-01-01",3,2.893,0.6524,0.24994,0.20046,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.088,0.2368,0.47366,0.25778,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.088,0.2368,0.47366,0.25778,FALSE,TRUE
"trailer",35,"2025-01-04",0,1.791,0.1747,0.34943,0.23972,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.088,0.2368,0.47366,0.25778,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.088,0.9455,0.47366,0.25778,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.088,0.6026,0.47366,0.25778,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.088,0.6026,0.47366,0.25778,TRUE,TRUE
"trailer",42,"2025-01-11",1,1.791,0.4693,0.34943,0.23972,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.314,0.9551,0.42441,0.25506,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.314,0.2122,0.42441,0.25506,FALSE,TRUE
"trailer",48,"2025-01-17",3,1.314,0.8608,0.42441,0.25506,FALSE,TRUE
"trailer",49,"2025-01-18",4,2.164,0.8223,0.30444,0.22595,FALSE,TRUE
"trailer",52,"2025-01-21",1,1.314,0.5519,0.42441,0.25506,TRUE,TRUE
"trailer",53,"2025-01-22",1,1.314,0.5519,0.42441,0.25506,TRUE,TRUE
"trailer",54,"2025-01-23",0,1.314,0.2122,0.42441,0.25506,FALSE,TRUE
"trailer",55,"2025-01-24",1,1.314,0.5519,0.42441,0.25506,TRUE,TRUE
"trailer",56,"2025-01-25",1,2.164,0.4174,0.30444,0.22595,TRUE,TRUE
"trailer",60,"2025-01-29",3,0.701,0.9503,0.59018,0.24357,FALSE,TRUE
"trailer",61,"2025-01-30",0,0.701,0.2951,0.59018,0.24357,TRUE,TRUE
"trailer",62,"2025-01-31",0,0.701,0.2951,0.59018,0.24357,TRUE,TRUE
"trailer",63,"2025-02-01",0,1.156,0.2329,0.46577,0.25376,FALSE,TRUE
"trailer",67,"2025-02-05",0,0.701,0.2951,0.59018,0.24357,TRUE,TRUE
"trailer",68,"2025-02-06",0,0.701,0.2951,0.59018,0.24357,TRUE,TRUE
"trailer",69,"2025-02-07",0,0.701,0.2951,0.59018,0.24357,TRUE,TRUE
"trailer",70,"2025-02-08",2,1.878,0.6624,0.35414,0.23484,TRUE,TRUE
"trailer",73,"2025-02-11",0,0.644,0.3054,0.61071,0.23881,TRUE,TRUE
"trailer",74,"2025-02-12",1,0.644,0.7301,0.61071,0.23881,TRUE,TRUE
"trailer",76,"2025-02-14",1,0.644,0.7301,0.61071,0.23881,TRUE,TRUE
"trailer",77,"2025-02-15",2,1.06,0.8045,0.48752,0.25401,FALSE,TRUE
"trailer",81,"2025-02-19",0,0.644,0.3054,0.61071,0.23881,TRUE,TRUE
"trailer",82,"2025-02-20",0,0.644,0.3054,0.61071,0.23881,TRUE,TRUE
"trailer",83,"2025-02-21",0,0.644,0.3054,0.61071,0.23881,TRUE,TRUE
"trailer",84,"2025-02-22",1,1.06,0.6145,0.48752,0.25401,TRUE,TRUE
"trailer",87,"2025-02-25",0,0.686,0.2963,0.59255,0.24498,TRUE,TRUE
"trailer",88,"2025-02-26",2,0.686,0.8857,0.59255,0.24498,FALSE,TRUE
"trailer",89,"2025-02-27",0,0.686,0.2963,0.59255,0.24498,TRUE,TRUE
"trailer",90,"2025-02-28",0,0.686,0.2963,0.59255,0.24498,TRUE,TRUE
"trailer",91,"2025-03-01",2,1.128,0.7894,0.46712,0.25631,FALSE,TRUE
"trailer",94,"2025-03-04",0,0.686,0.2963,0.59255,0.24498,TRUE,TRUE
"trailer",95,"2025-03-05",0,0.686,0.2963,0.59255,0.24498,TRUE,TRUE
"trailer",96,"2025-03-06",1,0.686,0.715,0.59255,0.24498,TRUE,TRUE
"trailer",98,"2025-03-08",0,1.128,0.2336,0.46712,0.25631,FALSE,TRUE
"trailer",101,"2025-03-11",2,1.061,0.8013,0.47368,0.26131,FALSE,TRUE
"trailer",102,"2025-03-12",1,1.061,0.6043,0.47368,0.26131,TRUE,TRUE
"trailer",104,"2025-03-14",1,1.061,0.6043,0.47368,0.26131,TRUE,TRUE
"trailer",105,"2025-03-15",0,1.747,0.1739,0.34771,0.24257,FALSE,TRUE
"trailer",108,"2025-03-18",2,1.061,0.8013,0.47368,0.26131,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.061,0.2368,0.47368,0.26131,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.061,0.2368,0.47368,0.26131,FALSE,TRUE
"trailer",110,"2025-03-20",0,1.061,0.2368,0.47368,0.26131,FALSE,TRUE
"trailer",111,"2025-03-21",0,1.061,0.2368,0.47368,0.26131,FALSE,TRUE
"trailer",112,"2025-03-22",1,1.747,0.469,0.34771,0.24257,TRUE,TRUE
"trailer",112,"2025-03-22",6,1.747,0.9494,0.34771,0.24257,FALSE,TRUE
"trailer",113,"2025-03-23",0,4.312,0.0814,0.16282,0.15284,FALSE,TRUE
"trailer",115,"2025-03-25",8,2.619,0.9413,0.25162,0.20687,FALSE,TRUE
"trailer",117,"2025-03-27",0,2.619,0.1258,0.25162,0.20687,FALSE,TRUE
"trailer",118,"2025-03-28",0,2.619,0.1258,0.25162,0.20687,FALSE,TRUE
