"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,32745,21688,48818,-34,81751,68407,99466,-17.1,FALSE
2.4,0.7921,39294,26026,58581,-20.8,88308,73008,108860,-10.4,FALSE
2.7,0.8911,44206,29279,65904,-10.9,93190,76414,116086,-5.5,FALSE
3,0.9901,49117,32533,73227,-1,98083,79793,123239,-0.5,FALSE
3.4,1.1221,55666,36870,82990,12.2,104645,84364,132910,6.2,FALSE
