"event_date","month","osp_present","trailer_present","osp_operating","coverage_class"
"2024-09-16",9,FALSE,FALSE,TRUE,"neither"
"2024-09-17",9,FALSE,TRUE,TRUE,"trailer only"
"2024-09-18",9,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-09-19",9,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-09-20",9,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-09-21",9,TRUE,FALSE,TRUE,"OSP only"
"2024-09-22",9,TRUE,FALSE,TRUE,"OSP only"
"2024-09-23",9,FALSE,FALSE,TRUE,"neither"
"2024-09-24",9,FALSE,TRUE,TRUE,"trailer only"
"2024-09-25",9,FALSE,FALSE,TRUE,"neither"
"2024-09-26",9,TRUE,FALSE,TRUE,"OSP only"
"2024-09-27",9,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-09-28",9,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-09-29",9,TRUE,FALSE,TRUE,"OSP only"
"2024-09-30",9,TRUE,FALSE,TRUE,"OSP only"
"2024-10-01",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-02",10,TRUE,FALSE,TRUE,"OSP only"
"2024-10-03",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-04",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-05",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-06",10,FALSE,FALSE,TRUE,"neither"
"2024-10-07",10,FALSE,FALSE,TRUE,"neither"
"2024-10-08",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-09",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-10",10,FALSE,FALSE,TRUE,"neither"
"2024-10-11",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-12",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-13",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-14",10,TRUE,FALSE,TRUE,"OSP only"
"2024-10-15",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-16",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-17",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-18",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-19",10,TRUE,TRUE,TRUE,"OSP+trailer"
"2024-10-20",10,FALSE,FALSE,TRUE,"neither"
"2024-10-21",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-22",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-23",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-24",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-25",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-26",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-27",10,FALSE,FALSE,TRUE,"neither"
"2024-10-28",10,FALSE,FALSE,TRUE,"neither"
"2024-10-29",10,FALSE,FALSE,TRUE,"neither"
"2024-10-30",10,FALSE,TRUE,TRUE,"trailer only"
"2024-10-31",10,FALSE,FALSE,TRUE,"neither"
"2024-11-01",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-02",11,FALSE,FALSE,FALSE,"neither"
"2024-11-03",11,FALSE,FALSE,FALSE,"neither"
"2024-11-04",11,FALSE,FALSE,FALSE,"neither"
"2024-11-05",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-06",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-07",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-08",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-09",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-10",11,FALSE,FALSE,FALSE,"neither"
"2024-11-11",11,FALSE,FALSE,FALSE,"neither"
"2024-11-12",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-13",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-14",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-15",11,FALSE,FALSE,FALSE,"neither"
"2024-11-16",11,FALSE,FALSE,FALSE,"neither"
"2024-11-17",11,FALSE,FALSE,FALSE,"neither"
"2024-11-18",11,FALSE,FALSE,FALSE,"neither"
"2024-11-19",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-20",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-21",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-22",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-23",11,FALSE,FALSE,FALSE,"neither"
"2024-11-24",11,FALSE,FALSE,FALSE,"neither"
"2024-11-25",11,FALSE,FALSE,FALSE,"neither"
"2024-11-26",11,FALSE,TRUE,FALSE,"trailer only"
"2024-11-27",11,FALSE,FALSE,FALSE,"neither"
"2024-11-28",11,FALSE,FALSE,FALSE,"neither"
"2024-11-29",11,FALSE,FALSE,FALSE,"neither"
"2024-11-30",11,FALSE,TRUE,FALSE,"trailer only"
"2024-12-01",12,FALSE,FALSE,FALSE,"neither"
"2024-12-02",12,FALSE,FALSE,FALSE,"neither"
"2024-12-03",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-04",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-05",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-06",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-07",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-08",12,FALSE,FALSE,FALSE,"neither"
"2024-12-09",12,FALSE,FALSE,FALSE,"neither"
"2024-12-10",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-11",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-12",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-13",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-14",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-15",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-16",12,FALSE,FALSE,FALSE,"neither"
"2024-12-17",12,FALSE,FALSE,FALSE,"neither"
"2024-12-18",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-19",12,FALSE,FALSE,FALSE,"neither"
"2024-12-20",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-21",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-22",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-23",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-24",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-25",12,FALSE,FALSE,FALSE,"neither"
"2024-12-26",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-27",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-28",12,FALSE,TRUE,FALSE,"trailer only"
"2024-12-29",12,FALSE,FALSE,FALSE,"neither"
"2024-12-30",12,FALSE,FALSE,FALSE,"neither"
