"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2085,1438,3200,1588,1158,2247
"2024-10",4336,3218,6154,3031,2339,3928
"2024-11",3992,2843,6409,2967,2169,4167
"2024-12",9506,8184,11485,3535,2780,4516
"2025-01",7059,6201,8345,3200,2501,4155
"2025-02",2082,1593,2840,2080,1620,2734
"2025-03",2642,1900,3653,2906,2363,3583
"2025-04",6264,4483,8777,4924,3968,6156
"2025-05",7084,5048,9976,4842,3875,6050
"2025-06",9564,6027,15134,6029,4629,7818
"2025-07",20940,12720,34953,10851,8095,14557
"2025-08",16056,10147,25881,9125,7020,11873
"2025-09",5370,3110,9545,3406,2446,4756
