"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.920657744279364,0.816796646541827,0.980155347444185,8722,0.9999,0.0222159243655033,0.0010982316833274,0.0997719130684256,0.893192341100626,0.779866682914781,0.964119873789707
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.891725003931703,0.766228947587671,0.963199967572514,13798,0.9997,0.0205740526219577,0.000711075174008726,0.105319728275047,0.86547348692192,0.732625457668095,0.947236266046396
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.86611581408711,0.667812051053185,0.970795089954985,10503,0.9997,0.0537977821615538,0.0013154730041776,0.30490785903732,0.800587321584885,0.554762621963378,0.941284037346282
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.747406670622975,0.53477430814538,0.908758448816647,10942,1,0.390013534584466,0.133474660829914,0.704145940571976,0.446410648306083,0.207604608754341,0.689500940649849
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.624508084642888,0.449399334333235,0.774993608665989,11043,0.9997,0.389945767497084,0.193680137750813,0.608388564429266,0.374269954656476,0.22258884131316,0.551091164969832
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.509269730522096,0.319851953343565,0.687264960991935,12614,0.9997,0.472204047646188,0.216971284472395,0.735296451748118,0.260181285915153,0.117999785900916,0.448417491318866
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.471088098748537,0.275840050636379,0.67880680158321,14022,0.9998,0.533221558996084,0.239702184764614,0.80279913447884,0.213650653800626,0.0815783628780687,0.410879744069406
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.418098222890219,0.246588910458799,0.617282982875822,12094,1,0.647611895908752,0.367785766703589,0.880542829030953,0.143081589897724,0.0445922203198885,0.303017137044983
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.302429286624748,0.174570486219219,0.460606352372096,10674,1.0002,0.592434476610647,0.32896426916229,0.81290913957424,0.120690483367168,0.0484033654157687,0.238977922115517
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.198265167749851,0.0747692011237869,0.363398639501904,10673,1,0.822468677658978,0.447791380641684,0.9961065898727,0.0323163500416741,0.000635933831585799,0.133189948564602
