"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,67,45980,37299,23,81.1
"boat pot-closure",76,14,1031,725,18,70.3
"shore all-gear",289,145,28633,15941,50,55.7
"shore pot-closure",76,51,8735,2975,67,34.1
