"fit","divergences","treedepth_pct","C_sum_rhat","E_sum_rhat","C_sum_neff","E_sum_neff","max_gear_rhat","min_gear_neff","max_r_C_rhat","max_sigma_C_rhat","pass_convergence","method_selected","ar_resolution","divergence_fraction","impact_C_sd","impact_E_sd","distortion_C","distortion_E","pass_rhat","pass_neff","pass_div_fraction","pass_impact"
"shore_ring_net_only_Dungeness_Kept",22,0,0.9997,0.9997,8478,8132,0.9997,8478,1.0001,1.0005,TRUE,"BSS","biweekly",0.0027,2e-04,0,0.0101,0.0011,TRUE,TRUE,TRUE,TRUE
"shore_all_gear_Dungeness_Kept",19,0,1.0002,1.0003,8316,9341,1.0002,8316,0.9996,0.9999,TRUE,"BSS","monthly",0.0024,6e-04,5e-04,0.0233,0.0078,TRUE,TRUE,TRUE,TRUE
"private_boat_ring_net_only_Dungeness_Kept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"PE (insufficient data)",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"private_boat_all_gear_Dungeness_Kept",9,0,1.0001,1.001,3042,3503,1.0001,3042,1.0002,1.0056,TRUE,"BSS","monthly",0.0022,0.0013,0,0.0816,0.0269,TRUE,TRUE,TRUE,TRUE
