"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,32340,23265,45344,-25,72092,62610,85311,-13,FALSE
1,0.8333,35933,25850,50382,-16.7,75656,65229,90232,-8.7,FALSE
1.2,1,43120,31020,60458,0,82825,70521,100291,0,TRUE
1.5,1.25,53900,38775,75573,25,93626,78352,115361,13,FALSE
1.8,1.5,64680,46530,90687,50,104380,86168,130227,26,FALSE
