"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1674,1294,2319,1202,930,1683
"2024-10",3225,2650,3984,2253,1855,2784
"2024-11",2482,1905,3282,1861,1448,2416
"2024-12",9621,8779,10763,2244,1775,2869
"2025-01",7175,6655,7914,2248,1775,2885
"2025-02",1682,1383,2112,1458,1095,1941
"2025-03",1516,1077,2472,1656,1389,1991
"2025-04",3346,2454,4905,3218,2651,3942
"2025-05",8060,5397,13456,3926,3266,4832
"2025-06",4094,2711,6780,2937,2270,3874
"2025-07",12938,7682,23678,7906,6112,10797
"2025-08",19440,12574,31630,8877,7113,11413
"2025-09",5736,3392,10840,3600,2740,4953
