"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4760,6.1,5869,6258,6.6,"BSS"
"shore (All gear)",18104,23617,30.4,15665,20124,28.5,"BSS"
"private_boat (Pot closure)",584,NA,NA,1170,NA,NA,"PE"
"private_boat (All gear)",11886,16266,36.9,36468,47126,29.2,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
