"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,1000,2,0.939536084888265,6.996,7,126.822,0.0370442977845131,0.916785582199997,FALSE
2,1000,0,0.966446739728734,7,7,127,0.0299178450384727,0.923859418012697,FALSE
3,1000,2,0.939042625136776,6.996,7,126.858,0.0378498491438108,0.94088801431278,FALSE
4,1000,11,0.874246192671072,6.968,7,126.047,0.0455255469767745,0.973655407548107,FALSE
