"gear_type","catch","has_BSS","proportion"
"All",73508,TRUE,0.848
"Pot",11986,FALSE,0.138
"Ring Net",1027,FALSE,0.012
"Snare",72,FALSE,0.001
"Trap",72,FALSE,0.001
