"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,35344,25721,49462,-25,75023,64866,89317,-13.6,FALSE
1,0.8333,39271,28579,54958,-16.7,78951,67729,94727,-9.1,FALSE
1.2,1,47126,34295,65950,0,86817,73424,105724,0,TRUE
1.5,1.25,58907,42869,82437,25,98539,82017,122124,13.5,FALSE
1.8,1.5,70688,51442,98925,50,110327,90556,138598,27.1,FALSE
