"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",52,-228.249491626011,6.11264550958447,6.28295082326592,1,-221.97
"catch",627,-1448.61025033691,21.7386072021072,5.9854570762075,0,-1442.62
