"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",44483,29975,67773,0.662
"Trap",11441,10103,13197,0.17
"Ring Net",9039,7492,11298,0.135
"Snare",1940,1673,2286,0.029
"Other",271,125,555,0.004
