"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-561.021226138492,23.8259435999037,12.2936108469105,0,-548.73
"catch",131,-451.523321345861,9.73005396392032,10.2258811844235,0,-441.3
