"gear_type","catch","has_BSS","proportion"
"All",80649,TRUE,0.857
"Pot",11986,FALSE,0.127
"Ring Net",1283,FALSE,0.014
"Snare",90,FALSE,0.001
"Trap",90,FALSE,0.001
