"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1772,1400,2392,1249,982,1706
"2024-10",3388,2823,4171,2332,1939,2882
"2024-11",2520,1938,3301,1873,1465,2420
"2024-12",9867,8966,11149,2320,1840,2946
"2025-01",7355,6764,8216,2299,1813,2949
"2025-02",1721,1411,2210,1471,1117,1961
"2025-03",1675,1155,2756,1705,1420,2046
"2025-04",3687,2619,5770,3390,2779,4178
"2025-05",9464,6162,16205,4264,3486,5317
"2025-06",4607,2911,8086,3142,2419,4187
"2025-07",15320,8700,29950,8857,6807,12213
"2025-08",23547,15056,38302,10167,8087,13247
"2025-09",6825,3883,13398,4117,3098,5790
