"fit","divergences","treedepth_pct","C_sum_rhat","E_sum_rhat","C_sum_neff","E_sum_neff","max_gear_rhat","min_gear_neff","max_r_C_rhat","max_sigma_C_rhat","pass_convergence","method_selected","ar_resolution","divergence_fraction","impact_C_sd","impact_E_sd","distortion_C","distortion_E","pass_rhat","pass_neff","pass_div_fraction","pass_impact"
"shore_ring_net_only_Dungeness_Kept",22,0,1.0002,1.0001,7880,8456,1.0002,7880,0.9997,1.0025,TRUE,"BSS","biweekly",0.0027,0,4e-04,0.009,0.0215,TRUE,TRUE,TRUE,TRUE
"shore_all_gear_Dungeness_Kept",38,0,0.9997,0.9997,9395,8588,0.9997,9395,0.9998,1.0004,TRUE,"BSS","monthly",0.0048,0.0012,0.0033,9e-04,0.0334,TRUE,TRUE,TRUE,TRUE
"private_boat_ring_net_only_Dungeness_Kept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"PE (insufficient data)",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
"private_boat_all_gear_Dungeness_Kept",2,0,0.9999,0.9998,2932,4658,0.9999,2932,1.0006,1.0022,TRUE,"BSS","monthly",5e-04,2e-04,4e-04,0.0792,0.0408,TRUE,TRUE,TRUE,TRUE
