"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",729.882352941176,1462.47593582888
"Private Boat (All gear)",14857.3060344828,45584.8173836035
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",38459.7888705157,80566.2327755665
