"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","80566"
"BSS total catch (median)","94146"
"BSS 95% CI lower","78667"
"BSS 95% CI upper","118060"
"Catch (PE): Shore","21533"
"Catch (PE): Private Boat","47047"
"Catch (PE): Commercial/Charter","11986"
"Catch % (PE): Shore","26.7"
"Catch % (PE): Private Boat","58.4"
"Catch % (PE): Commercial/Charter","14.9"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
