"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence","catch_median","catch_lo95","catch_hi95","pi_width","pi_width_rel","effort_median","p_loo","p_loo_frac","n_pareto_bad","cov50_gear","cov50_catch","pit_mean_catch","selected"
"shore_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,110,0.0183,0.0016,TRUE,6330.56563152393,5269.73269825848,7727.79197292356,2458.05927466508,0.388284304711231,4910.51418647986,NA,NA,NA,NA,NA,NA,TRUE
"shore_all_gear_Dungeness_Kept",1,3,"weekly",44,TRUE,313,0.0313,0.0024,TRUE,21547.312574535,19075.9189639299,24527.5501112525,5451.63114732263,0.253007474990893,25566.8564233997,54.764104720715,0.0279408697554668,1,0.565916398713826,0.443298969072165,0.49853162318739,TRUE
"shore_all_gear_Dungeness_Kept",2,3,"biweekly",21,TRUE,212,0.0212,0.0027,TRUE,21382.8926082125,19142.7903299226,24041.3063842318,4898.51605430913,0.229085752992453,25258.234899196,34.175807076048,0.0174366362632898,0,0.565916398713826,0.449969678593087,0.499031591092297,FALSE
"shore_all_gear_Dungeness_Kept",3,3,"monthly",10,TRUE,152,0.0152,0,TRUE,20770.8348116328,18627.5631107314,23216.7199944667,4589.1568837353,0.220942341766886,25092.3580729782,22.1610489853578,0.0113066576455907,0,0.578778135048232,0.450576106731352,0.498327699456502,FALSE
"private_boat_ring_net_only_Dungeness_Kept",1,1,"monthly",3,FALSE,32,0.0053,0.0012,TRUE,1017.80690144919,330.422779339261,3474.3800190776,3143.95723973834,3.08895256581761,424.802486303144,NA,NA,NA,NA,NA,NA,TRUE
"private_boat_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,39,0.0039,6e-04,TRUE,31007.8803539556,12372.737206229,60043.9459004214,47671.2086941924,1.53739011341712,11118.0210416129,NA,NA,NA,NA,NA,NA,TRUE
