"Section","Minutes"
"1_load_data",0
"2_diagnostic_plots",0.1
"2b_fishery_spillover",0
"3_PE_estimates",0
"4_commercial_charter",0
"5_BSS_model_runs",327.6
"BSS_shore_ring_net_only_Dungeness_Kept_att1",10.4
"BSS_shore_all_gear_Dungeness_Kept_att1",98.4
"BSS_shore_all_gear_Dungeness_Kept_att2",92.5
"BSS_shore_all_gear_Dungeness_Kept_att3",81.6
"BSS_private_boat_ring_net_only_Dungeness_Kept_att1",1.1
"BSS_private_boat_all_gear_Dungeness_Kept_att1",40.3
"6_outputs",1.7
