"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","cov50_worst_dev","cov50_worst_stream","cov50_source","pit_sd_worst_dev","disp_neff_min","disp_neff_min_par","disp_scale_min","disp_scale_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_miscalibrated","flag_dispersion_neff","source","method_selected"
"shore_ring_net_only_Dungeness_Kept",0.1143,"gear",1,0.0189,"gear",0.0769,"gear","byobs (randomized PIT)",0.0228,6931,"sigma_r_E",0.5056,"sigma_r_E",FALSE,TRUE,FALSE,FALSE,FALSE,"live","BSS"
"shore_all_gear_Dungeness_Kept",0.0956,"gear",1,0.0059,"gear",0.0627,"gear","byobs (randomized PIT)",0.0199,10715,"r_E",0.431,"sigma_r_E",FALSE,TRUE,FALSE,FALSE,FALSE,"live","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.212,"catch",1,0.0763,"osp",0.1136,"trailer","byobs (randomized PIT)",0.0347,5042,"r_E",0.6665,"sigma_r_OSP",FALSE,TRUE,TRUE,FALSE,FALSE,"live","BSS"
"private_boat_all_gear_Dungeness_Kept",0.0801,"catch",1,0.0194,"osp",0.0878,"catch","byobs (randomized PIT)",0.022,11125,"sigma_r_C",0.767,"sigma_r_C",FALSE,TRUE,FALSE,FALSE,FALSE,"live","BSS"
