"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48424,31514,75318,0.671
"Trap",11828,10651,13228,0.164
"Ring Net",9596,7893,12092,0.133
"Snare",2016,1751,2332,0.028
"Other",287,125,619,0.004
