"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1705,1155,2952,1238,928,1710
"2024-10",3031,2357,4120,2136,1734,2664
"2024-11",2674,2031,3820,1965,1548,2501
"2024-12",9144,8365,10213,2292,1839,2872
"2025-01",6904,6419,7653,2331,1860,2948
"2025-02",1529,1297,1855,1498,1189,1906
"2025-03",1328,980,1899,1774,1485,2122
"2025-04",2763,2048,3839,3080,2518,3765
"2025-05",5675,3455,10036,3395,2646,4347
"2025-06",5045,3087,8619,3827,2844,5124
"2025-07",11849,6266,23520,7580,5252,10895
"2025-08",14839,7782,28040,7937,5575,11284
"2025-09",4171,2369,8277,2861,1955,4219
