"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"trailer",0.613636363636364,0.977272727272727,0.476908803570336,0.266812588902907,44,44
"osp",0.611111111111111,0.944444444444444,0.576311270097728,0.253960035038224,18,18
"catch",0.470588235294118,1,0.53164283990544,0.290540664888268,17,17
