"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1614,1113,2645,1191,904,1668
"2024-10",2933,2290,3857,2092,1696,2606
"2024-11",2562,1959,3469,1937,1511,2462
"2024-12",8842,8183,9753,2198,1757,2782
"2025-01",6589,6197,7120,2214,1756,2812
"2025-02",1508,1269,1847,1483,1130,1953
"2025-03",1160,852,1647,1643,1372,1975
"2025-04",2740,2096,3640,3114,2569,3784
"2025-05",4882,3176,8177,3364,2721,4148
"2025-06",4339,2705,7486,3365,2543,4441
"2025-07",10920,5706,22476,7154,5016,10419
"2025-08",12886,6827,23716,7353,5272,10423
"2025-09",3641,2148,6927,2602,1830,3791
