"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,19347,7458,38308,-25,59290,47078,78674,-9.8,FALSE
1,0.8333,21496,8287,42565,-16.7,61469,47967,83028,-6.5,FALSE
1.2,1,25796,9944,51078,0,65756,49660,91476,0,TRUE
1.5,1.25,32244,12430,63847,25,72151,52165,104338,9.7,FALSE
1.8,1.5,38693,14916,76616,50,78614,54742,117109,19.6,FALSE
