"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","All",6332,5253,7702,NA,"BSS"
"shore","all_gear","All",20754,18662,23128,NA,"BSS"
"private_boat","ring_net_only","All",743,236,2435,NA,"BSS"
"private_boat","all_gear","All",25796,9944,51078,NA,"BSS"
"comm_charter","census","Pot",NA,NA,NA,11821,"Census"
