"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-80.5705619629459,6.7943711989623,5.05952175451302,0,-75.51
"catch",17,-53.1467335724086,3.75894040345819,3.8683126507592,1,-49.28
