"fit","R_G_median","R_G_lo95","R_G_hi95","R_G_status","R_G_interpretation","R_G_boat_median","R_G_boat_lo95","R_G_boat_hi95","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept",1.324,1.265,1.385,"estimated (gear counts)","1.32 gear per crabber (1.27-1.39) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"shore_all_gear_Dungeness_Kept",1.28,1.245,1.317,"estimated (gear counts)","1.28 gear per crabber (1.25-1.32) [estimated (gear counts)]",NA,NA,NA,"not applicable (shore fit)"
"private_boat_ring_net_only_Dungeness_Kept",1.294,0.716,2.369,"prior-only (no gear counts in boat fits)","1.29 gear per crabber (0.72-2.37) [prior-only (no gear counts in boat fits)]",2.902,2.193,3.749,"2.90 gear per boat group (2.19-3.75)"
"private_boat_all_gear_Dungeness_Kept",1.307,0.721,2.336,"prior-only (no gear counts in boat fits)","1.31 gear per crabber (0.72-2.34) [prior-only (no gear counts in boat fits)]",3.546,3.239,3.879,"3.55 gear per boat group (3.24-3.88)"
