"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",1.60437053575536,-0.267378983588403,1.55119181673944,3.76245646888945,3532,1.001
"mu_mu_C[1]",0.723794150871706,-0.702871174928058,0.768200479326771,1.76842134010476,3666,1.0009
"sigma_eps_E",1.71044809111826,0.680970260034356,1.51596651320205,3.92597620747422,3613,1.0009
"sigma_eps_C",0.595564907233658,0.0177556564401025,0.431806131451043,2.11156928785037,4036,1.0008
"phi_E",0.274499716175772,-0.50184453589274,0.311574244157765,0.852153109148945,4532,1.0002
"phi_C",0.0505368728551918,-0.773719813331984,0.057492282040927,0.8264410067846,9050,0.9999
"sigma_r_E",0.640193398422353,0.176772378294297,0.64408788834267,1.07312633693425,4901,1.0011
"sigma_r_C",1.15350720138849,0.682986169112536,1.12272478053991,1.81507959337649,10962,1.0002
"r_E",15.798465847053,0.868356970973335,2.41051442655913,32.0017094627642,4375,1.0006
"r_C",0.905934953299069,0.303534914502274,0.793329103347767,2.14376067444769,7084,0.9999
"sigma_mu_E",12.5814705967816,0.070809504995008,1.99045920875623,50.4250879553146,7702,1.0007
"sigma_mu_C",32.0280241718589,0.0727008269790331,1.98030545140573,44.5896642794189,5146,1.0003
"sigma_IE",0.200867441470561,0.00530277336339518,0.138031824881082,0.736130402135294,11666,0.9997
"R_G",1.35998576466368,0.715615983949729,1.29428550686446,2.36885457216081,12961,0.9999
"R_G_boat",2.91684467485173,2.19304842828034,2.90183532293491,3.74852513425737,14656,0.9996
"B1",0.81317597742437,0.321316906021238,0.813592510807483,1.30898901798854,11714,0.9996
"B2",-0.0245805479495531,-2.01730499584545,-0.0312967280910353,1.95071406417162,16058,0.9998
"B1_C",0.0467126607072987,-1.09592483361473,0.0347863034524744,1.25938708356463,10790,0.9997
"kappa_OSP",3.15636511777349,1.67926704854294,3.01033603015969,5.42590590359209,10941,0.9998
"sigma_r_OSP",0.725817374005751,0.372058452440272,0.705336334929088,1.18562052909465,7498,1.0007
"r_OSP",2.56664406292507,0.711391368972216,2.01005294357768,7.22400157424859,1987,1.0013
"f_crab[1]",0.299910669447311,0.126264674122962,0.29306282436813,0.510433778332761,14254,0.9997
"f_lower[1]",0,0,0,0,NA,NA
