"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"trailer",0.840909090909091,1,0.451306818181818,0.232569062408654,44,44
"catch",0.529411764705882,1,0.53375,0.286257505360122,17,17
