"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,23497,19257,23,82
"boat pot-closure",76,13,604,426,17,70.5
"shore all-gear",289,145,19652,10649,50,54.2
"shore pot-closure",76,51,5955,1983,67,33.3
