"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.706,0.372,1.037,"2.0x (1.5-2.8)",-0.106,-1.034,0.978,"1.8x (0.7-5.5)"
"shore_all_gear_Dungeness_Kept",1.033,0.896,1.172,"2.8x (2.4-3.2)",0.063,-0.269,0.412,"3.0x (2.2-4.2)"
"private_boat_ring_net_only_Dungeness_Kept",0.814,0.321,1.309,"2.3x (1.4-3.7)",-0.031,-2.017,1.951,"2.2x (0.3-17.1)"
"private_boat_all_gear_Dungeness_Kept",0.641,0.397,0.898,"1.9x (1.5-2.5)",0.515,-0.08,1.127,"3.2x (1.8-5.7)"
