"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-573.856128988462,21.9187842148708,4.87597434117012,0,-568.98
"catch",131,-450.869513405274,9.85957790003426,10.2939417606707,2,-440.58
