"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence"
"shore_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,17,0.0021,2e-04,TRUE
"shore_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,10,0.0013,2e-04,TRUE
"private_boat_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,6,8e-04,0,TRUE
"private_boat_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,22,0.0055,0.0011,TRUE
