"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","cov50_worst_dev","cov50_worst_stream","cov50_source","pit_sd_worst_dev","disp_neff_min","disp_neff_min_par","disp_scale_min","disp_scale_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_miscalibrated","flag_dispersion_neff","source","method_selected"
"private_boat_all_gear_Dungeness_Kept",0.2691,"trailer",16,0.0167,"catch",0.2436,"trailer","byobs (randomized PIT)",0.1505,657,"sigma_r_OSP",0.0865,"sigma_r_OSP",TRUE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.212,"catch",1,0.0803,"osp",0.1136,"trailer","byobs (randomized PIT)",0.0286,5042,"r_E",0.6665,"sigma_r_OSP",FALSE,TRUE,TRUE,FALSE,FALSE,"reconstructed","BSS"
"shore_all_gear_Dungeness_Kept",0.3519,"gear",41,0.002,"catch",0.1977,"gear","byobs (randomized PIT)",0.0621,5021,"r_E",0.2339,"sigma_r_E",TRUE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"shore_ring_net_only_Dungeness_Kept",0.1143,"gear",1,0.0192,"gear",0.0769,"gear","byobs (randomized PIT)",0.0189,6931,"sigma_r_E",0.5056,"sigma_r_E",FALSE,TRUE,FALSE,FALSE,FALSE,"reconstructed","BSS"
