"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,0,0,0,0,0,0,0,FALSE,4.1565560361075,0.890379264619656
2,"2024-12-02","2024-12-02",1,1,1,1,1,1,1,0,TRUE,3.08551441912126,0.835155066989735
3,"2024-12-03","2024-12-03",1,1,1,1,1,1,4,0,TRUE,2.7171576839225,0.703572105147907
4,"2024-12-04","2024-12-04",1,1,1,1,1,1,7,0,TRUE,2.5391016877176,0.677139212258216
5,"2024-12-05","2024-12-05",1,1,1,1,1,1,2,0,TRUE,2.59619041961077,0.772860680098749
6,"2024-12-06","2024-12-06",1,1,1,1,1,1,4,0,TRUE,2.72897461426042,0.74695534379816
7,"2024-12-07","2024-12-07",1,1,1,1,1,1,1,0,TRUE,2.78673807194605,0.844051449517779
8,"2024-12-08","2024-12-08",1,0,0,0,0,0,0,0,FALSE,3.68823007541399,0.924856047126317
9,"2024-12-09","2024-12-09",1,0,0,0,0,0,0,0,FALSE,3.87249562185663,0.910262233903509
10,"2024-12-10","2024-12-10",1,1,1,1,1,1,1,0,TRUE,3.40335507024305,0.904390809900337
11,"2024-12-11","2024-12-11",1,1,1,1,1,1,1,0,TRUE,3.43173331149589,0.829392413624859
12,"2024-12-12","2024-12-12",1,1,1,1,1,1,2,0,TRUE,3.37210206879599,0.805157808756676
13,"2024-12-13","2024-12-13",1,1,1,1,1,1,1,0,TRUE,3.4277082231897,0.846526174550554
14,"2024-12-14","2024-12-14",1,1,0,1,0,1,0,0,TRUE,3.20165292385915,0.902827913580767
15,"2024-12-15","2024-12-15",1,1,0,1,0,1,0,0,TRUE,3.0856892314395,0.91485048890526
16,"2024-12-16","2024-12-16",1,0,0,0,0,0,0,0,FALSE,3.77880712642553,0.907117412892128
17,"2024-12-17","2024-12-17",1,0,0,0,0,0,0,0,FALSE,3.7763438562737,0.909630894545016
18,"2024-12-18","2024-12-18",1,1,1,1,1,1,3,0,TRUE,2.85442933982191,0.826689354002737
19,"2024-12-19","2024-12-19",1,0,0,0,0,0,0,0,FALSE,3.49963214322896,0.88397477416603
20,"2024-12-20","2024-12-20",1,1,1,1,1,1,1,0,TRUE,3.08278089529303,0.830362650835809
21,"2024-12-21","2024-12-21",1,1,1,1,1,1,1,0,TRUE,2.97148842476433,0.871326335069548
22,"2024-12-22","2024-12-22",1,1,1,1,1,1,1,0,TRUE,2.93212995412799,0.904924260052768
23,"2024-12-23","2024-12-23",1,1,0,1,0,1,0,0,TRUE,2.88399353474613,0.924428611126323
24,"2024-12-24","2024-12-24",1,1,0,1,0,1,0,0,TRUE,3.06310785949453,0.973831086185992
25,"2024-12-25","2024-12-25",1,0,0,0,0,0,0,0,FALSE,3.60226579001443,0.975657284348194
26,"2024-12-26","2024-12-26",1,1,0,1,0,1,0,0,TRUE,3.21163287954842,0.952076872161943
27,"2024-12-27","2024-12-27",1,1,1,1,1,1,1,0,TRUE,2.83087240292164,0.981249051728439
28,"2024-12-28","2024-12-28",1,1,1,1,1,1,5,0,TRUE,2.63641484103136,0.926369190575272
29,"2024-12-29","2024-12-29",1,0,0,0,0,0,0,0,FALSE,3.64715845365525,1.06423382665802
30,"2024-12-30","2024-12-30",1,0,0,0,0,0,0,0,FALSE,3.73634395930978,0.970795206273803
31,"2024-12-31","2024-12-31",1,1,1,1,1,1,4,0,TRUE,2.95285407567285,0.957694398253151
32,"2025-01-01","2025-01-01",1,1,1,1,1,1,1,0,TRUE,2.9119005466525,0.946525916231536
33,"2025-01-02","2025-01-02",1,1,1,1,1,1,2,0,TRUE,3.36119791738068,0.897086220240508
34,"2025-01-03","2025-01-03",1,1,1,1,1,1,1,0,TRUE,3.53046709850358,0.887838226097313
35,"2025-01-04","2025-01-04",1,1,0,1,0,1,0,0,TRUE,3.71389150509405,0.925531066467511
36,"2025-01-05","2025-01-05",1,0,0,0,0,0,0,0,FALSE,4.14060562755398,0.921577085279885
37,"2025-01-06","2025-01-06",1,0,0,0,0,0,0,0,FALSE,4.01932359550656,0.900587243335554
38,"2025-01-07","2025-01-07",1,1,1,1,1,1,4,0,TRUE,3.30045054537344,0.769999799722347
39,"2025-01-08","2025-01-08",1,1,1,1,1,1,4,0,TRUE,2.78686949634101,0.759845781889096
40,"2025-01-09","2025-01-09",1,1,0,1,0,1,0,0,TRUE,2.87691713569097,0.86610503292235
41,"2025-01-10","2025-01-10",1,1,0,1,0,1,0,0,TRUE,2.9396195718225,0.905389998003212
42,"2025-01-11","2025-01-11",1,1,0,1,0,1,0,0,TRUE,2.98985877981013,0.89833564778247
43,"2025-01-12","2025-01-12",1,0,0,0,0,0,0,0,FALSE,3.6879390664815,0.897145080845108
44,"2025-01-13","2025-01-13",1,0,0,0,0,0,0,0,FALSE,3.60080655462428,0.881507150703904
45,"2025-01-14","2025-01-14",1,1,1,1,1,1,3,0,TRUE,2.69799226682285,0.784557040673509
46,"2025-01-15","2025-01-15",1,0,0,0,0,0,0,0,FALSE,3.3865420519884,0.914433026892582
47,"2025-01-16","2025-01-16",1,1,0,1,0,1,0,0,TRUE,2.99105057727161,0.880966438503156
