"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",58126,35591,90324,0.705
"Trap",11608,10320,13140,0.141
"Ring Net",10280,8163,13287,0.125
"Snare",2012,1733,2370,0.024
"Other",378,160,802,0.005
