"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27694,43235,35251,53250
"Dungeness_Kept","Expected_Catch",45112,82738,57580,118316
"Dungeness_Kept","Predictive_Catch",NA,82710,57590,118317
