"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1699,1157,3003,1238,932,1716
"2024-10",3034,2353,4156,2136,1730,2648
"2024-11",2666,2027,3809,1965,1540,2503
"2024-12",9167,8426,10243,2222,1833,2753
"2025-01",7145,6583,8014,2534,2032,3242
"2025-02",1721,1410,2195,1544,1223,2024
"2025-03",1554,1123,2150,2034,1629,2627
"2025-04",3384,2407,4701,3277,2561,4276
"2025-05",4824,3112,7550,3303,2529,4454
"2025-06",6318,3695,10431,3866,2719,5597
"2025-07",16810,8546,28893,7712,5072,11197
"2025-08",17385,8953,29958,7874,5222,11404
"2025-09",6535,3497,11193,2973,2014,4241
