"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1682,1306,2303,450,384,567
"2024-10",3197,2626,3930,1035,887,1231
"2024-11",2478,1901,3218,603,473,767
"2024-12",9446,8654,10527,768,605,981
"2025-01",7241,6708,8001,622,487,808
"2025-02",1718,1423,2161,458,349,608
"2025-03",1582,1139,2465,580,473,734
"2025-04",3352,2442,4935,1247,960,1690
"2025-05",8093,5437,13480,1952,1498,2667
"2025-06",4145,2748,7083,1117,754,1778
"2025-07",13026,7585,23913,4548,3119,7411
"2025-08",19682,12747,31846,6002,4423,8454
"2025-09",5696,3360,10837,2367,1592,3690
