"gear_type","catch","has_BSS","proportion"
"All",43307,TRUE,0.522
"Pot",15743,TRUE,0.19
"Trap",9966,TRUE,0.12
"Mixed",6586,TRUE,0.079
"Ring Net",4868,TRUE,0.059
"Snare",2450,TRUE,0.03
