"event_date","median","lo95","hi95"
2024-09-16,70.996269820548,35.6230517564684,144.539998940728
2024-09-17,71.2724938403877,35.4040971221297,144.650949945931
2024-09-18,71.379541472868,35.7494986065297,144.791500716252
2024-09-19,71.6911784012567,35.320350957422,150.226695806159
2024-09-20,97.7845402456639,47.9728423216589,200.239231544826
2024-09-21,98.5202160650169,48.0018196288835,203.066156225152
2024-09-22,97.6879615545604,49.0605936014438,197.843724392196
2024-09-23,70.8354719837697,34.943934815672,145.349768735002
2024-09-24,71.404801539989,35.5775418737555,146.549609851816
2024-09-25,71.187323875234,36.5558169102298,144.11324552941
2024-09-26,70.7273549534693,35.6418554738943,144.799681531723
2024-09-27,97.4874062798256,48.4410938999674,199.004601611958
2024-09-28,98.6429480259845,48.9232209343786,197.94157486651
2024-09-29,96.8742991931444,49.2987600396693,199.461333751025
2024-09-30,74.9500462681889,37.1680868302219,149.214421788463
2024-10-01,75.4388498963225,37.0657901241629,154.870239595395
2024-10-02,74.9831575911283,36.778681877281,153.960737216826
2024-10-03,74.9858830267722,36.5875117412427,155.297593467478
2024-10-04,99.8059007328948,49.1367835983395,204.234950981524
2024-10-05,99.7063553780179,49.5953228637227,203.11108118052
2024-10-06,100.514293169829,49.7123044611249,206.038506465381
2024-10-07,75.0707475522263,38.4937728367797,151.073608503912
2024-10-08,75.3668700732797,37.4359584198544,155.381841153161
2024-10-09,75.4374017926752,37.3558309313029,151.356670163771
2024-10-10,74.9071886049924,37.5405625000854,152.549052115169
2024-10-11,100.055184984965,50.6247611434864,200.485997465472
2024-10-12,99.4661066165632,50.5670805757381,199.002604991169
2024-10-13,99.9687335912046,50.1109605811717,204.178977523515
2024-10-14,63.4737525831232,32.0323308607633,122.34574212995
2024-10-15,63.4450724835636,31.9204180078419,123.367297093695
2024-10-16,63.3462726899878,32.3240840113742,125.154992446939
2024-10-17,63.6041052965789,32.2428361786895,124.770328945873
2024-10-18,85.9332453423648,43.3866414780302,170.723051557353
2024-10-19,86.0957458518196,43.7391606717473,173.047367592921
2024-10-20,86.4775757473918,43.4445793684649,172.377305063953
2024-10-21,63.8206923713118,32.2138948625153,125.834099376926
2024-10-22,63.5745167215036,32.1759994970589,123.752174310999
2024-10-23,63.2489617474213,32.3193982187613,126.396332530745
2024-10-24,63.5699858429228,32.3514204158665,123.178169467743
2024-10-25,85.7385400289373,42.9689595113679,172.353569384318
2024-10-26,85.6521832157676,42.9436002863142,169.634089938148
2024-10-27,85.9080161254587,43.3349933652065,167.82495608529
2024-10-28,63.350181019821,30.6965161691171,130.536127170434
2024-10-29,63.2034404690534,30.2277449267576,130.225343920975
2024-10-30,63.2172339685393,29.963963788021,131.093255869805
2024-10-31,63.4232027253484,29.8736759026509,126.48905620441
2024-11-01,83.933666923179,40.9174269070092,167.386372109954
2024-11-02,83.6958978127485,40.3167117451586,173.715086714366
2024-11-03,83.3435272185951,40.1696674317363,168.050542335547
2024-11-04,63.3109857562024,30.3676455352509,130.498463932353
2024-11-05,63.1438376832984,30.6012826773542,130.185907453382
2024-11-06,62.9785436258689,30.1966175458346,128.933466041729
2024-11-07,62.5736980228469,30.1233509979346,127.99847768045
2024-11-08,84.0907569651627,40.748923305211,170.953643174539
2024-11-09,83.4529581823382,40.9817233045407,172.115258594465
2024-11-10,83.2299502518945,39.9442654188519,169.558823210385
2024-11-11,54.7531295416754,26.1729359336001,111.813965821874
2024-11-12,54.8669593681457,26.6268722902849,112.834827243731
2024-11-13,54.6961112477382,26.3666170290797,113.775520482244
2024-11-14,54.9576841916552,26.6171906500552,111.243673080299
2024-11-15,73.0732423691816,35.0293810122682,151.745188438029
2024-11-16,73.0494997122803,35.2447403389849,150.113010155551
2024-11-17,73.4150909064423,34.8769295751601,148.302131756258
2024-11-18,54.8544211955416,25.7123432951928,111.41369180863
2024-11-19,54.9064938025793,26.1507531075911,112.152410325517
2024-11-20,54.9978413799502,26.08978126607,112.897748385787
2024-11-21,55.034329262736,26.3352039085949,111.416903372246
2024-11-22,73.4942842497058,35.2276772755697,146.994062997708
2024-11-23,73.7432163396836,35.2303302967326,146.821074643605
2024-11-24,73.5022680292339,35.3482709607736,150.265025189514
2024-11-25,83.5503146060875,40.3775710394295,195.155714059242
2024-11-26,83.9813852662895,39.8035359009149,195.65671460682
2024-11-27,84.0470082089903,40.5193337867167,194.332382255123
2024-11-28,83.8117084366251,39.9371383654866,196.869411476917
2024-11-29,115.527840358664,37.6846997905209,412.635914095873
2024-11-30,114.662598416257,55.9825729481795,262.239708404332
