"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","Ring Net",1876,1484,2384,NA,"BSS"
"shore","ring_net_only","Snare",632,453,880,NA,"BSS"
"shore","ring_net_only","Trap",2360,1873,2972,NA,"BSS"
"shore","ring_net_only","Mixed",1347,1052,1735,NA,"BSS"
"shore","all_gear","Pot",3757,3166,4464,NA,"BSS"
"shore","all_gear","Ring Net",1965,1567,2455,NA,"BSS"
"shore","all_gear","Snare",1746,1363,2251,NA,"BSS"
"shore","all_gear","Trap",7534,6437,8922,NA,"BSS"
"shore","all_gear","Mixed",5239,4529,6116,NA,"BSS"
"private_boat","ring_net_only","Ring Net",NA,NA,NA,1027,"PE (weighted proportional)"
"private_boat","ring_net_only","Trap",NA,NA,NA,72,"PE (weighted proportional)"
"private_boat","ring_net_only","Snare",NA,NA,NA,72,"PE (weighted proportional)"
"private_boat","all_gear","All",43307,30907,62045,NA,"BSS"
"comm_charter","census","Pot",NA,NA,NA,11986,"Census"
