"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.762655934194,0.83555812492136,2.771933852705,4.45209589940182,1030,1.0054
"mu_mu_C[1]",1.05727011805847,0.526535206014264,1.05728786696865,1.48077079853345,404,1.0077
"sigma_eps_E",1.08983588674351,0.61344777637673,1.03356061792254,1.90494725094824,1341,1.001
"sigma_eps_C",0.440969259721584,0.116518132088866,0.416374138407877,0.891168026679173,1100,1.0041
"phi_E",0.657960530464628,0.183422197312885,0.690990546222693,0.941303829604689,1460,1.0026
"phi_C",-0.11579204420513,-0.775090754383311,-0.147643003990809,0.725115831351738,1077,1.0054
"sigma_r_E",0.932200913812767,0.813224279373211,0.92976690429636,1.06622615896674,5764,0.9994
"sigma_r_C",0.772331176409173,0.650512561172298,0.769623494334622,0.907515332092937,4690,1.0001
"r_E",1.16742735843187,0.879632644014847,1.15678282996408,1.51209591182033,5881,0.9994
"r_C",1.71294008441838,1.21420512802256,1.68827568652931,2.36313551067563,4621,0.9999
"sigma_mu_E",11.8191231247744,0.0857567322120599,1.99321419638127,46.7619157672719,3881,0.9998
"sigma_mu_C",119.443719142575,0.0898549702185535,2.09651856059721,45.1568334586135,3655,1.0001
"sigma_IE",0.199270003912227,0.0056017157162108,0.142975797960049,0.719981642775192,5796,0.9996
"R_G",1.35006725632052,0.720942867307679,1.29665828861616,2.31548763507085,5468,1
"R_G_boat",3.55149674035241,3.23178156207222,3.54734508797604,3.88250362511153,7778,0.9998
"B1",0.265496278335636,-0.0488223225909117,0.268484158568443,0.573963288992734,5018,1.0003
"B2",0.529420426903356,-0.167619799946049,0.514517867007725,1.32237886391804,4569,1.0004
"B1_C",-0.0262915844606326,-0.328203801173954,-0.0276771627142087,0.273828545931864,4027,1
