"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39387,31493,23,80
"shore all-gear",289,145,19203,10135,50,52.8
"shore pot-closure",76,51,5833,1848,67,31.7
