"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","71157"
"BSS total catch (median)","82995"
"BSS 95% CI lower","70238"
"BSS 95% CI upper","101111"
"Catch: Shore","21533"
"Catch: Private Boat","37638"
"Catch: Commercial/Charter","11986"
"Catch %: Shore","30.3"
"Catch %: Private Boat","52.9"
"Catch %: Commercial/Charter","16.8"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
