"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4751,5.9,5869,6257,6.6,"BSS"
"shore (All gear)",18104,23620,30.5,15665,20134,28.5,"BSS"
"private_boat (Pot closure)",584,NA,NA,1170,NA,NA,"PE"
"private_boat (All gear)",11886,14805,24.6,36468,43314,18.8,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
