"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"trailer",0.682051282051282,0.984615384615385,0.494134615384615,0.268952206633103,195,195
"catch",0.603053435114504,0.984732824427481,0.509656488549618,0.272822632463837,131,131
