"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",17738.4910840632,9508.94684459361
"Shore (all-gear)",99128.6210010306,28060.1078306202
"Private Boat (ring-net)",1382.06527777778,1235.79356301106
"Private Boat (all-gear)",31486.4958516861,13130.2826625117
"Commercial/Charter",495.870967741935,22301.4789081886
"PORT TOTAL",150231.5441823,74236.6098089252
