"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C_sum",10368.15475,43.999119856834,1022.35571750038,8553,9664.5,10321.5,11008.5,12583.325,539.903424385688,1.00447807872687
"E_sum",18072.1359988932,75.4988433092748,1645.41935247234,15165.2055623577,16928.2827629996,17971.1665020375,19067.6839083712,21643.0306692846,474.97702811017,1.00456096992932
