"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort (crabber-hrs)",150232,150093,140169,161663
"Dungeness_Kept","Catch",74237,88359,79876,102009
