"cls","contacts","inside_shift","hour_q10","hour_q25","hour_median","hour_q75","hour_q90"
"combo",43,42,10.2866666666667,11.825,12.9833333333333,14.4916666666667,15.29
"crab_only",100,99,9.96666666666667,11.525,13.025,14.4208333333333,15.1316666666667
"non_fishing",50,50,10.0283333333333,10.5958333333333,11.6916666666667,12.725,13.4383333333333
"other_fishery",107,106,10.2833333333333,11.725,13.3,14.1583333333333,14.91
