"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2082,1433,3198,1585,1165,2263
"2024-10",4333,3230,6246,3031,2348,3939
"2024-11",3986,2867,6332,2968,2174,4175
"2024-12",9808,8318,11985,3472,2690,4506
"2025-01",7077,6142,8622,3390,2608,4433
"2025-02",1949,1473,2724,2133,1589,2854
"2025-03",2176,1526,3353,2433,1939,3045
"2025-04",4520,3308,6299,4673,3715,5891
"2025-05",8822,5854,14174,5274,4199,6607
"2025-06",7178,4512,12168,5174,3929,6721
"2025-07",17091,9766,31746,10529,7744,14224
"2025-08",17713,11042,30133,9816,7489,12810
"2025-09",4237,2617,7686,3093,2237,4316
