"event_date","season","day_type","arrivals","peak","presence_at_counts","tau_day","tau_peak_day"
"2023-08-17","2022-23","Weekday",45,32,17.525,2.56776034236805,1.40625
"2023-09-12","2022-23","Weekday",28,15,10.5083333333333,2.66455194290246,1.86666666666667
"2023-10-05","2023-24","Weekday",41,20,15.2527777777778,2.68803496630851,2.05
"2023-10-19","2023-24","Weekday",16,8,4.31111111111111,3.71134020618557,2
"2023-12-06","2023-24","Weekday",12,7,5.41736111111111,2.2151006281246,1.71428571428571
"2023-12-28","2023-24","Weekday",26,19,15.2111111111111,1.70927684441198,1.36842105263158
"2023-12-29","2023-24","Weekend",57,23,18.5048611111111,3.08027170037903,2.47826086956522
"2024-02-10","2023-24","Weekend",184,117,87.3361111111111,2.10680321872714,1.57264957264957
"2024-02-18","2023-24","Weekend",42,13,9.29259259259259,4.51972897568753,3.23076923076923
"2024-03-01","2023-24","Weekend",13,10,2.36018518518518,5.50804236955669,1.3
"2024-03-08","2023-24","Weekend",29,14,9.92083333333333,2.92314153716926,2.07142857142857
"2024-03-28","2023-24","Weekday",21,11,6.34027777777778,3.31215772179628,1.90909090909091
"2024-04-03","2023-24","Weekday",57,50,22.7979166666667,2.50022845654756,1.14
"2024-05-19","2023-24","Weekend",81,59,44.8805555555556,1.80479049328464,1.3728813559322
"2024-06-14","2023-24","Weekend",63,35,13.0180555555556,4.83943241224795,1.8
"2024-08-29","2023-24","Weekday",54,27,21.0979166666667,2.55949442085514,2
"2024-09-10","2023-24","Weekday",54,38,30.00625,1.79962507810873,1.42105263157895
"2024-10-21","2024-25","Weekday",30,25,11.6004155124654,2.58611426183511,1.2
"2024-11-09","2024-25","Weekend",47,31,20.9520833333333,2.24321368201253,1.51612903225806
"2024-12-06","2024-25","Weekend",27,20,16.7236111111111,1.61448384685657,1.35
"2025-01-22","2024-25","Weekday",10,6,3.68009259259259,2.71732293370235,1.66666666666667
"2025-02-28","2024-25","Weekend",73,48,36.5319444444444,1.99825115005893,1.52083333333333
"2025-08-26","2024-25","Weekday",83,47,31.8490304709141,2.60604479234616,1.76595744680851
"2025-10-23","2025-26","Weekday",38,26,16.0111111111111,2.37335183900069,1.46153846153846
"2025-12-11","2025-26","Weekday",14,11,9.45162037037037,1.48122749871421,1.27272727272727
"2025-12-19","2025-26","Weekend",29,17,10.218287037037,2.83804906780237,1.70588235294118
"2026-01-08","2025-26","Weekday",7,4,2.22893518518518,3.1405130335445,1.75
"2026-01-17","2025-26","Weekend",170,72,59.619212962963,2.85142979169498,2.36111111111111
"2026-01-20","2025-26","Weekday",34,17,12.6861111111111,2.6800963433326,2
"2026-03-05","2025-26","Weekday",17,14,10.287962962963,1.65241652416524,1.21428571428571
"2026-04-03","2025-26","Weekend",95,57,33.2291666666667,2.858934169279,1.66666666666667
"2026-04-10","2025-26","Weekend",120,64,45.0111111111111,2.66600839298939,1.875
"2026-05-07","2025-26","Weekday",31,20,13.3125,2.32863849765258,1.55
"2026-05-29","2025-26","Weekend",42,30,20.5208333333333,2.04670050761421,1.4
"2026-06-05","2025-26","Weekend",48,23,6.83125,7.02653247941446,2.08695652173913
"2026-06-10","2025-26","Weekday",40,29,20.9458333333333,1.90968768649294,1.37931034482759
"2026-07-11","2025-26","Weekend",163,106,81.9923611111111,1.98799007360103,1.5377358490566
"2026-07-23","2025-26","Weekday",69,41,13.2749307479224,5.19776722833742,1.68292682926829
"2026-08-19","2025-26","Weekday",60,29,24.3625,2.46280143663417,2.06896551724138
"2026-08-28","2025-26","Weekend",111,67,45.3451388888889,2.44789193990536,1.65671641791045
